energy,photon_flux
113.771,0.0159943
114.123,0.0372262
114.474,0.0478249
114.826,0.0633635
115.177,0.0111841
115.529,0.0810987
115.880,0.0416056
116.232,0.110663
116.583,0.0391202
116.935,0.0639277
117.286,0.0772809
117.638,0.101993
117.989,0.0204946
118.341,0.133313
118.692,0.0683951
119.044,0.107139
119.395,0.0456037
119.747,0.0364607
120.098,0.135165
120.450,0.0364833
120.801,0.0426412
121.153,0.110772
121.504,0.0784952
121.856,0.00276411
122.207,0.0115250
122.559,0.106488
122.910,0.0743474
123.262,0.0535753
123.613,0.0134193
123.965,0.0152730
124.316,0.0105660
124.668,0.0447071
125.019,0.0131638
125.371,0.0197486
125.722,0.0808545
126.074,0.0340671
126.425,0.0210968
126.777,0.0512375
127.128,0.0783048
127.480,0.0241534
127.831,0.0392050
128.183,0.0181118
128.534,0.0711149
128.886,0.0196138
129.237,0.0730440
129.589,0.0849801
129.940,0.0395508
130.292,0.0504700
130.643,0.0501859
130.995,0.0121013
131.346,0.106215
131.698,0.0154070
132.049,0.0137867
132.401,0.0214652
132.752,0.0521656
133.104,0.0490551
133.455,0.0153601
133.807,0.0429827
134.158,0.0396457
134.509,0.0492425
134.861,0.0477529
135.212,0.0462254
135.564,0.0104278
135.915,0.00599567
136.267,0.0167740
136.618,0.0219026
136.970,0.0463350
137.321,0.0448771
137.673,0.0201009
138.024,0.0847114
138.376,0.0828514
138.727,0.0162538
139.079,0.0155652
139.430,0.0202227
139.782,0.0439278
140.133,0.0175502
140.485,0.0250895
140.836,0.0805772
141.188,0.0143850
141.539,0.0177405
141.891,0.0218298
142.242,0.0528024
142.594,0.0224892
142.945,0.0787320
143.297,0.0249016
143.648,0.0509651
144.000,0.00793545
144.351,0.0146295
144.703,0.0130872
145.054,0.0128597
145.406,0.0180083
145.757,0.0191857
146.109,0.0912900
146.460,0.0145505
146.812,0.0489456
147.163,0.0163046
147.515,0.0148727
147.866,0.0183047
148.218,0.0202160
148.569,0.0508141
148.921,0.0577403
149.272,0.0425872
149.624,0.0479217
149.975,0.0580226
150.327,0.0147917
150.678,0.0121833
151.030,0.0515258
151.381,0.0584684
151.733,0.0198540
152.084,0.0416868
152.436,0.0199799
152.787,0.0552746
153.139,0.0570379
153.490,0.0217382
153.842,0.0927916
154.193,0.0909147
154.545,0.0251879
154.896,0.0592110
155.248,0.0188147
155.599,0.0156337
155.951,0.0117256
156.302,0.0190127
156.654,0.0152221
157.005,0.0976187
157.357,0.0596591
157.708,0.0546451
158.060,0.0191757
158.411,0.0156618
158.763,0.0224278
159.114,0.0586055
159.466,0.0205793
159.817,0.0934294
160.169,0.0104499
160.520,0.0163683
160.872,0.0226515
161.223,0.0210202
161.575,0.00874415
161.926,0.0172906
162.278,0.0119297
162.629,0.0133941
162.981,0.101788
163.332,0.0136993
163.684,0.0228455
164.035,0.0106709
164.387,0.0141306
164.738,0.0125045
165.089,0.00524947
165.441,0.137938
165.792,0.0226497
166.144,0.0208866
166.495,0.0265432
166.847,0.0568184
167.198,0.0177721
167.550,0.0126642
167.901,0.0144163
168.253,0.0199934
168.604,0.0953215
168.956,0.0103798
169.307,0.0126835
169.659,0.0195543
170.010,0.0183748
170.362,0.101334
170.713,0.0233624
171.065,0.0197645
171.416,0.0331300
171.768,0.0183170
172.119,0.105553
172.471,0.0185946
172.822,0.0147086
173.174,0.0184430
173.525,0.0110945
