photon_energy,flux
2.36E+00,3.70E-31
2.92E+00,3.48E-31
3.49E+00,2.94E-31
4.08E+00,2.57E-31
4.71E+00,2.04E-31
5.37E+00,1.87E-31
5.96E+00,1.57E-31
6.59E+00,1.68E-31
7.18E+00,1.46E-31
7.75E+00,1.33E-31
8.37E+00,1.18E-31
9.00E+00,8.89E-32
9.59E+00,7.54E-32
