photon_energy,flux
2.00E+00,1.96E-31
2.36E+00,1.59E-31
2.73E+00,1.13E-31
3.12E+00,1.29E-31
3.49E+00,1.27E-31
3.82E+00,9.36E-32
4.21E+00,8.69E-32
4.58E+00,8.48E-32
4.94E+00,6.71E-32
5.31E+00,5.65E-32
5.70E+00,5.86E-32
6.07E+00,4.93E-32
6.60E+00,4.70E-32
7.45E+00,3.21E-32
8.15E+00,2.77E-32
8.88E+00,2.54E-32
