r,particle_energy_671.0,energy_deposited_671.0,energy_deposited_normalised,particle_energy_666.25,energy_deposited_666.25,particle_energy_661.5,energy_deposited_661.5,particle_energy_656.75,energy_deposited_656.75,particle_energy_652.0,energy_deposited_652.0,energy_deposited_671.0_wintensity,energy_deposited_666.25_wintensity,energy_deposited_661.5_wintensity,energy_deposited_656.75_wintensity,energy_deposited_652.0_wintensity,cumulative_energy_deposited,cumulative_energy_deposited_normalised,energy_deposited_671.0_wintensity_normalised,energy_deposited_666.25_wintensity_normalised,energy_deposited_661.5_wintensity_normalised,energy_deposited_656.75_wintensity_normalised,energy_deposited_652.0_wintensity_normalised
0.1,669.1048,1.8952000000000002,0.08442622950819671,664.3456,1.9044,659.5864,1.9136000000000004,654.8272,1.9227999999999998,650.068,1.9320000000000002,1.8952000000000002,1.9044,1.9136000000000004,1.9227999999999998,1.9320000000000002,9.568,0.1682575635010516,0.033327940462708296,0.03348972658145931,0.03365151270021032,0.03381329881896133,0.03397508493771234
0.2,667.2004,1.9044,0.08483606557377048,662.432,1.9136000000000004,657.6636,1.9227999999999998,652.8951999999999,1.9320000000000002,648.1268,1.9412000000000003,1.9044,1.9136000000000004,1.9227999999999998,1.9320000000000002,1.9412000000000003,9.614,0.16906649409480665,0.03348972658145931,0.03365151270021032,0.03381329881896133,0.03397508493771234,0.034136871056463354
0.30000000000000004,665.2959999999999,1.9044,0.08483606557377048,660.5184,1.9136000000000004,655.7407999999999,1.9227999999999998,650.9631999999999,1.9320000000000002,646.1856,1.9412000000000003,1.9044,1.9136000000000004,1.9227999999999998,1.9320000000000002,1.9412000000000003,9.614,0.16906649409480665,0.03348972658145931,0.03365151270021032,0.03381329881896133,0.03397508493771234,0.034136871056463354
0.4,663.3824,1.9136000000000004,0.08524590163934427,658.6048000000001,1.9136000000000004,653.8179999999999,1.9227999999999998,649.0219999999999,1.9412000000000003,644.2352000000001,1.9504000000000001,1.9136000000000004,1.9136000000000004,1.9227999999999998,1.9412000000000003,1.9504000000000001,9.6416,0.1695518524510597,0.03365151270021032,0.03365151270021032,0.03381329881896133,0.034136871056463354,0.03429865717521437
0.5,661.4688,1.9136000000000004,0.08524590163934427,656.682,1.9227999999999998,651.8859999999999,1.9320000000000002,647.0808,1.9412000000000003,642.2848000000001,1.9504000000000001,1.9136000000000004,1.9227999999999998,1.9320000000000002,1.9412000000000003,1.9504000000000001,9.66,0.1698754246885617,0.03365151270021032,0.03381329881896133,0.03397508493771234,0.034136871056463354,0.03429865717521437
0.6,659.5552,1.9136000000000004,0.08524590163934427,654.7592,1.9227999999999998,649.9539999999998,1.9320000000000002,645.1396,1.9412000000000003,640.3252000000001,1.9596,1.9136000000000004,1.9227999999999998,1.9320000000000002,1.9412000000000003,1.9596,9.6692,0.1700372108073127,0.03365151270021032,0.03381329881896133,0.03397508493771234,0.034136871056463354,0.03446044329396537
0.7,657.6324,1.9227999999999998,0.08565573770491801,652.8272,1.9320000000000002,648.0127999999999,1.9412000000000003,643.1892,1.9504000000000001,638.3656000000001,1.9596,1.9227999999999998,1.9320000000000002,1.9412000000000003,1.9504000000000001,1.9596,9.706,0.17068435528231674,0.03381329881896133,0.03397508493771234,0.034136871056463354,0.03429865717521437,0.03446044329396537
0.7999999999999999,655.7095999999999,1.9227999999999998,0.08565573770491801,650.8951999999999,1.9320000000000002,646.0715999999999,1.9412000000000003,641.2388000000001,1.9504000000000001,636.4060000000001,1.9596,1.9227999999999998,1.9320000000000002,1.9412000000000003,1.9504000000000001,1.9596,9.706,0.17068435528231674,0.03381329881896133,0.03397508493771234,0.034136871056463354,0.03429865717521437,0.03446044329396537
0.8999999999999999,653.7867999999999,1.9227999999999998,0.08565573770491801,648.954,1.9412000000000003,644.1211999999999,1.9504000000000001,639.2792000000001,1.9596,634.4372000000001,1.9687999999999999,1.9227999999999998,1.9412000000000003,1.9504000000000001,1.9596,1.9687999999999999,9.742799999999999,0.1713314997573208,0.03381329881896133,0.034136871056463354,0.03429865717521437,0.03446044329396537,0.03462222941271638
0.9999999999999999,651.8547999999998,1.9320000000000002,0.0860655737704918,647.0128,1.9412000000000003,642.1708,1.9504000000000001,637.3196,1.9596,632.4684000000001,1.9687999999999999,1.9320000000000002,1.9412000000000003,1.9504000000000001,1.9596,1.9687999999999999,9.752,0.17149328587607182,0.03397508493771234,0.034136871056463354,0.03429865717521437,0.03446044329396537,0.03462222941271638
1.0999999999999999,649.9227999999998,1.9320000000000002,0.0860655737704918,645.0716,1.9412000000000003,640.2112,1.9596,635.3508,1.9687999999999999,630.4904000000001,1.9780000000000002,1.9320000000000002,1.9412000000000003,1.9596,1.9687999999999999,1.9780000000000002,9.7796,0.17197864423232484,0.03397508493771234,0.034136871056463354,0.03446044329396537,0.03462222941271638,0.0347840155314674
1.2,647.9815999999998,1.9412000000000003,0.08647540983606557,643.1212,1.9504000000000001,638.2515999999999,1.9596,633.3820000000001,1.9687999999999999,628.5124000000002,1.9780000000000002,1.9412000000000003,1.9504000000000001,1.9596,1.9687999999999999,1.9780000000000002,9.798,0.17230221646982685,0.034136871056463354,0.03429865717521437,0.03446044329396537,0.03462222941271638,0.0347840155314674
1.3,646.0403999999999,1.9412000000000003,0.08647540983606557,641.1708000000001,1.9504000000000001,636.2919999999999,1.9596,631.4040000000001,1.9780000000000002,626.5252000000002,1.9872000000000005,1.9412000000000003,1.9504000000000001,1.9596,1.9780000000000002,1.9872000000000005,9.816400000000002,0.17262578870732892,0.034136871056463354,0.03429865717521437,0.03446044329396537,0.0347840155314674,0.03494580165021841
